Forma Juridica,CP,Polígono Industrial,Grupo de actividad,Subgrupo de actividad,Área de actividad
Sociedad Limitada,28805,Parque Tecnológico Tecno Alcalá,IPF: Productos con destino al mercado final,Fabricación de maquinaria y equipo N.C.O.P.,Industria
,28805,El Encín,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Mapfre,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Inbisa I,IPF: Productos con destino al mercado final,Industria de la madera y el corcho. excepto muebles. cestería y espartería,Industria
,28805,El Encín,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Alcalá I,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Inbisa I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28802,Los Almendros,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,La Garena,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28802,Camarilla,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Bañuelos,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Parque Tecnológico Tecno Alcalá,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Información y comunicaciones,Servicios
Sociedad Limitada,28805,Europa,CON: Construcción,Actividades de construcción especializada,Construcción
Sociedad Limitada,28805,Alcalá I,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Limitada,28806,La Garena,IPF: Productos con destino al mercado final,Fabricación de productos informáticos. electrónicos y ópticos,Industria
,28806,El Pilar,Local o solar vacío,Local vacío,Locales vacíos
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,CON: Construcción,Construcción,Construcción
,28805,Alcalá I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28802,Los Almendros,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Álvarez,UTI: Utillaje: moldes. matricería,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28805,Alcalá II,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Resto del municipio,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28805,Herle,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Antigua Carretera de Ajalvir,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28802,Camarilla,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Santa Rosa,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Inbisa I,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Camino del Cementerio,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28805,Europa,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Casarrubios,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,Alcalá I,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Anónima,28806,Bañuelos,IPF: Productos con destino al mercado final,Industria química,Industria
Sociedad Limitada,28805,Europa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28805,Herle,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Santa Rosa,Local o solar vacío,Local vacío,Locales vacíos
,28805,Fidalgo y Bazán,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,La Garena,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28806,Los Dólmenes,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28805,Alcalá I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28802,Los Almendros,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28806,Camino del Cementerio,Local o solar vacío,Local vacío,Locales vacíos
Sociedad Limitada,28806,El Pilar,SMA: Energía y Medioambiente,Actividades profesionales. científicas y técnicas,Servicios
,28805,Europa,Local o solar vacío,Local vacío,Locales vacíos
Sociedad Limitada,28805,Fidalgo y Bazán,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Camino del Cementerio,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Autónomo,28806,Inbisa I,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,La Garena,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Otros servicios,Servicios
,28806,Mapfre,Local o solar vacío,Local vacío,Locales vacíos
,28806,Camino del Cementerio,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28802,Camarilla,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Camporroso,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Anónima,28806,Azque,IPF: Productos con destino al mercado final,Industria de la alimentación,Industria
,28806,Camporroso,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28805,Europa,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,Inbisa I,CON: Construcción,Actividades de construcción especializada,Construcción
,28802,Jumapi,IPF: Productos con destino al mercado final,Industria de la alimentación,Industria
Sociedad Anónima,28806,Arrendataria,IPF: Productos con destino al mercado final,Fabricación de otros productos minerales no metálicos,Industria
,28806,Santa Rosa,CON: Construcción,Actividades de construcción especializada,Construcción
,28805,Herle,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28805,Parque Tecnológico Tecno Alcalá,SMA: Energía y Medioambiente,Actividades profesionales. científicas y técnicas,Servicios
,28806,Camporroso,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,El Pilar,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades profesionales. científicas y técnicas,Servicios
,28806,El Pilar,SC: Servicios al consumidor final,Hostelería,Servicios
Sociedad Limitada,28802,Camarilla,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,Los Dólmenes,Local o solar vacío,Local vacío,Locales vacíos
,28806,Casarrubios,SC: Servicios al consumidor final,Hostelería,Servicios
,28805,Europa,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,Santa Rosa,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,Pesados,SC: Servicios al consumidor final,Hostelería,Servicios
Comunidad de Bienes,28802,Jumapi,SC: Servicios al consumidor final,Hostelería,Servicios
,28805,Fidalgo y Bazán,SC: Servicios al consumidor final,Otros servicios,Servicios
,28805,Cuadernillos,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Autónomo,28802,Jumapi,SC: Servicios al consumidor final,Hostelería,Servicios
,28802,Jumapi,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28806,Camporroso,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28806,Arrendataria,SMA: Energía y Medioambiente,Suministro de agua. actividades de saneamiento. gestión de residuos y descontaminación,Servicios
,28806,El Pilar,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28806,Camporroso,IPF: Productos con destino al mercado final,Fabricación de muebles,Industria
Sociedad Limitada,28806,Mapfre,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Limitada,28805,Europa,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,La Esgaravita,IPF: Productos con destino al mercado final,Fabricación de productos farmacéuticos,Industria
,28806,Mapfre,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28806,Inbisa II,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
,28806,Antigua Carretera de Ajalvir,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,El Val,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,El Pilar,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,Atakira,CON: Construcción,Actividades de construcción especializada,Construcción
,28805,Alcalá I,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28802,Camarilla,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28802,Camarilla,IPF: Productos con destino al mercado final,Industria de la madera y el corcho. excepto muebles. cestería y espartería,Industria
Sociedad Limitada,28806,Inbisa I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Camporroso,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28805,Parque Tecnológico Tecno Alcalá,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28803,Las Matillas,SC: Servicios al consumidor final,Actividades inmobiliarias,Servicios
,28806,Antigua Carretera de Ajalvir,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28803,Las Matillas,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Los Salobrales,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Inbisa II,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28806,Cointra,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Inbisa II,SC: Servicios al consumidor final,Hostelería,Servicios
,28805,Alcalá I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Casarrubios,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,Camporroso,SC: Servicios al consumidor final,Hostelería,Servicios
Sociedad Limitada,28805,El Val,CON: Construcción,Actividades de construcción especializada,Construcción
,28805,Europa,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Reparación e instalación de maquinaria y equipo,Servicios
,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Resto del municipio,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28805,Europa,SC: Servicios al consumidor final,Hostelería,Servicios
Sociedad Limitada,28806,Mapfre,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Carretera N II,IPF: Productos con destino al mercado final,Fabricación de productos farmacéuticos,Industria
,28805,El Val,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Inbisa II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Mapfre,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Los Salobrales,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28805,Fidalgo y Bazán,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28803,Las Matillas,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Santa Rosa,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,El Val,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,El Descubrimiento,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,El Pilar,CON: Construcción,Actividades de construcción especializada,Construcción
,28806,La Garena,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28802,Jumapi,EASO: Educación. Asistencia Social. Sanidad y Ocio,Actividades artísticas. recreativas y de entretenimiento,Educación. Asistencia Social. Sanidad y Ocio
,28805,La Esgaravita,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28802,Fagober,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
Sociedad Anónima,28805,Huerta de San Antonio,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Los Dólmenes,SC: Servicios al consumidor final,Actividades de alquiler,Servicios
,28806,Santa Rosa,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
,28806,El Nilo,IPF: Productos con destino al mercado final,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Inbisa II,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Anónima,28806,Cointra,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Hostelería,Servicios
,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Mapfre,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Camporroso,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28806,Inbisa II,IPF: Productos con destino al mercado final,Artes gráficas,Industria
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Arrendataria,Local o solar vacío,Local vacío,Locales vacíos
,28805,La Esgaravita,SC: Servicios al consumidor final,Otros servicios,Servicios
,28805,Parque Tecnológico Tecno Alcalá,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Reparación e instalación de maquinaria y equipo,Servicios
,28802,Camarilla,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28805,Alcalá I,CON: Construcción,Actividades de construcción especializada,Construcción
,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Inbisa II,SC: Servicios al consumidor final,Hostelería,Servicios
,28806,Álvarez,SC: Servicios al consumidor final,Hostelería,Servicios
Sociedad Limitada,28806,Camporroso,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
,28806,La Peña,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Santa Rosa,IPF: Productos con destino al mercado final,Artes gráficas,Industria
,28802,Jumapi,Local o solar vacío,Local vacío,Locales vacíos
Sociedad Limitada,28805,El Val,UTI: Utillaje: moldes. matricería,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Santa Rosa,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,El Descubrimiento,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Mapfre,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Carretera N II,IPF: Productos con destino al mercado final,Fabricación de maquinaria y equipo N.C.O.P.,Industria
,28806,Inbisa II,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades profesionales. científicas y técnicas,Servicios
Sociedad Limitada,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28802,Jumapi,Local o solar vacío,Local vacío,Locales vacíos
,28806,La Garena,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,El Descubrimiento,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades profesionales. científicas y técnicas,Servicios
Sociedad Limitada,28806,El Descubrimiento,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,El Pilar,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Inbisa II,IPF: Productos con destino al mercado final,Fabricación de muebles,Industria
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,IPF: Productos con destino al mercado final,Artes gráficas,Industria
Sociedad Limitada,28802,Jumapi,IPF: Productos con destino al mercado final,Fabricación de productos de caucho y plástico,Industria
,28806,Santa Rosa,IPF: Productos con destino al mercado final,Artes gráficas,Industria
Sociedad Limitada,28805,Alcalá I,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28802,Camarilla,Local o solar vacío,Local vacío,Locales vacíos
,28806,El Nilo,UTI: Utillaje: moldes. matricería,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Mapfre,SC: Servicios al consumidor final,Actividades financieras y de seguros,Servicios
,28806,Resto del municipio,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Álvarez,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Herle,CON: Construcción,Construcción,Construcción
Sociedad Limitada,28802,Camarilla,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Santa Rosa,IPF: Productos con destino al mercado final,Fabricación de productos informáticos. electrónicos y ópticos,Industria
Sociedad Anónima,28806,Bañuelos,IPF: Productos con destino al mercado final,Industria de la alimentación,Industria
Sociedad Anónima,28806,Bañuelos,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Europa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Santa Rosa,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Actividades administrativas y servicios auxiliares,Servicios
Sociedad Limitada,28806,Camporroso,IPF: Productos con destino al mercado final,Industria química,Industria
,28805,Fidalgo y Bazán,IPF: Productos con destino al mercado final,Fabricación de productos farmacéuticos,Industria
,28806,Santa Rosa,IPF: Productos con destino al mercado final,Fabricación de maquinaria y equipo N.C.O.P.,Industria
Sociedad Limitada,28806,Inbisa II,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Azque,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Limitada,28802,Fagober,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Camporroso,IPF: Productos con destino al mercado final,Fabricación de productos de caucho y plástico,Industria
Sociedad Limitada,28805,El Val,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Anónima,28806,La Garena,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Santa Rosa,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Anónima Limitada Laboral,28805,Europa,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
Sociedad Limitada,28806,Antigua Carretera de Ajalvir,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Azque,IPF: Productos con destino al mercado final,Fabricación de productos informáticos. electrónicos y ópticos,Industria
,28806,La Garena,SC: Servicios al consumidor final,Actividades de alquiler,Servicios
,28805,Mercadona,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28802,Resto del municipio,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Alcalá II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Inbisa II,IAUX: Pieza o producto que se incorpora a un conjunto (Ind. Auxiliar),Industria textil,Industria
,28806,Carretera de Daganzo,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Azque,IPI: Procesos sobre piezas,Fabricación de productos metálicos excepto maquinaria y equipo,Industria
,28806,Camporroso,IPF: Productos con destino al mercado final,Reparación e instalación de maquinaria y equipo,Industria
,28805,Huerta de San Antonio,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Navalsa,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Reparación e instalación de maquinaria y equipo,Servicios
Sociedad Limitada,28806,Camporroso,CON: Construcción,Construcción,Construcción
,28806,Casarrubios,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Santa Rosa,SC: Servicios al consumidor final,Actividades inmobiliarias,Servicios
,28806,Arrendataria,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28802,Jumapi,SC: Servicios al consumidor final,Otros servicios al consumidor,Servicios
,28806,Carretera N II,SC: Servicios al consumidor final,Actividades de alquiler,Servicios
Sociedad Anónima,28806,Carretera N II,IPF: Productos con destino al mercado final,Metalurgia. fabricación de productos de hierro. acero y ferroaleaciones,Industria
,28805,Parque Tecnológico Tecno Alcalá,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Información y comunicaciones,Servicios
,28805,Parque Tecnológico Tecno Alcalá,SE: Servicios a empresas: Mantenimiento. reparación. informática. consultoría,Información y comunicaciones,Servicios
,28806,Camporroso,CON: Construcción,Actividades de construcción especializada,Construcción
Sociedad Limitada,28806,Azque,IPF: Productos con destino al mercado final,Fabricación de productos informáticos. electrónicos y ópticos,Industria
Sociedad Limitada,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Inbisa I,IPF: Productos con destino al mercado final,Fabricación de productos de caucho y plástico,Industria
,28806,Antigua Carretera de Ajalvir,IPF: Productos con destino al mercado final,Industria de la madera y el corcho. excepto muebles. cestería y espartería,Industria
Sociedad Limitada,28802,Jumapi,CON: Construcción,Construcción,Construcción
Sociedad Limitada,28803,Centro Empresarial Puerta de Alcalá,CON: Construcción,Actividades de construcción especializada,Construcción
,28805,El Val,CON: Construcción,Actividades de construcción especializada,Construcción
Sociedad Limitada,28806,Inbisa II,CON: Construcción,Actividades de construcción especializada,Construcción
Sociedad Limitada,28806,El Nilo,CON: Construcción,Construcción,Construcción
Sociedad Anónima,28806,Santa Rosa,IPF: Productos con destino al mercado final,Fabricación de productos informáticos. electrónicos y ópticos,Industria
,28806,Camporroso,CON: Construcción,Construcción,Construcción
Sociedad Anónima,28806,Camporroso,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28806,Azque,IPF: Productos con destino al mercado final,Fabricación de otros productos minerales no metálicos,Industria
,28806,Inbisa II,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Mapfre,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28806,Santa Rosa,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28805,Alcalá I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28805,Herle,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28805,Europa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Mapfre,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28806,Inbisa I,Local o solar vacío,Local vacío,Locales vacíos
,28802,Jumapi,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28802,Camarilla,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
,28806,Mapfre,SC: Servicios al consumidor final,Actividades financieras y de seguros,Servicios
,28806,Mapfre,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,Casarrubios,SC: Servicios al consumidor final,Actividades artísticas. recreativas y de entretenimiento,Servicios
Sociedad Limitada,28806,Inbisa I,DL: Distribución y logística,Transporte y almacenamiento,Distribución y logística
Sociedad Limitada,28805,Alcalá II,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Limitada,28803,Centro Empresarial Puerta de Alcalá,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
,28802,Jumapi,EASO: Educación. Asistencia Social. Sanidad y Ocio,Actividades artísticas. recreativas y de entretenimiento,Educación. Asistencia Social. Sanidad y Ocio
,28805,Fidalgo y Bazán,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,El Val,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
Sociedad Limitada,28805,Alcalá I,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28802,Fagober,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28802,Jumapi,SC: Servicios al consumidor final,Venta y reparación de vehículos de motor y motocicletas,Servicios
,28805,Alcalá I,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
Sociedad Anónima,28806,La Garena,EASO: Educación. Asistencia Social. Sanidad y Ocio,Actividades artísticas. recreativas y de entretenimiento,Educación. Asistencia Social. Sanidad y Ocio
,28806,Santa Rosa,CV: Comercialización: Ventas,Comercio al por mayor y al por menor. reparación de vehículos de motor,Comercialización: ventas
